EquipmentState,1,DataType
EquipmentState_EnumStrings,2,Variable
EquipmentType,3,ObjectType
EquipmentType_Manufacturer,4,Variable
EquipmentType_SerialNumber,5,Variable
EquipmentType_State,6,Variable
EquipmentType_CycleCount,7,Variable
HeatingZoneType,8,ObjectType
HeatingZoneType_Temperature,9,Variable
HeatingZoneType_Temperature_Definition,10,Variable
HeatingZoneType_Temperature_ValuePrecision,11,Variable
HeatingZoneType_Temperature_InstrumentRange,12,Variable
HeatingZoneType_Temperature_InstrumentNumberRange,13,Variable
HeatingZoneType_Temperature_EURange,14,Variable
HeatingZoneType_Temperature_EUNumberRange,15,Variable
HeatingZoneType_Temperature_EngineeringUnits,16,Variable
HeatingZoneType_PowerLevel,17,Variable
HeatingZoneType_PowerLevel_Definition,18,Variable
HeatingZoneType_PowerLevel_ValuePrecision,19,Variable
HeatingZoneType_PowerLevel_InstrumentRange,20,Variable
HeatingZoneType_PowerLevel_InstrumentNumberRange,21,Variable
HeatingZoneType_PowerLevel_EURange,22,Variable
HeatingZoneType_PowerLevel_EUNumberRange,23,Variable
HeatingZoneType_PowerLevel_EngineeringUnits,24,Variable
HeatingZoneType_Setpoint,25,Variable
HeatingZoneType_Setpoint_Definition,26,Variable
HeatingZoneType_Setpoint_ValuePrecision,27,Variable
HeatingZoneType_Setpoint_InstrumentRange,28,Variable
HeatingZoneType_Setpoint_InstrumentNumberRange,29,Variable
HeatingZoneType_Setpoint_EURange,30,Variable
HeatingZoneType_Setpoint_EUNumberRange,31,Variable
HeatingZoneType_Setpoint_EngineeringUnits,32,Variable
FurnaceType,33,ObjectType
FurnaceType_DoorClosed,34,Variable
FurnaceType_Zones,35,Object
FurnaceType_Zones_Zone,36,Object
FurnaceType_Zones_Zone_Temperature,37,Variable
FurnaceType_Zones_Zone_Temperature_Definition,38,Variable
FurnaceType_Zones_Zone_Temperature_ValuePrecision,39,Variable
FurnaceType_Zones_Zone_Temperature_InstrumentRange,40,Variable
FurnaceType_Zones_Zone_Temperature_InstrumentNumberRange,41,Variable
FurnaceType_Zones_Zone_Temperature_EURange,42,Variable
FurnaceType_Zones_Zone_Temperature_EUNumberRange,43,Variable
FurnaceType_Zones_Zone_Temperature_EngineeringUnits,44,Variable
FurnaceType_Zones_Zone_PowerLevel,45,Variable
